SchoolYear,leaType,County_Name,lea,DistrictCode,gradeLevel,teacherTotal,studentTotal,population
2016,Districts,Sussex,Laurel School District,16,All Levels,141,2203,33369
2016,Districts,Sussex,Seaford School District,23,All Levels,238,3413,33369
2016,Districts,Sussex,Sussex Technical School District,40,All Levels,90,1444,33369
2016,Districts,Sussex,Woodbridge School District,35,All Levels,155,2441,33369
2017,Charters,Kent,Academy of Dover Charter School,85,All Levels,18,247,32422
2017,Charters,Kent,Campus Community School,74,All Levels,22,413,32422
2017,Charters,Kent,Early College High School at Del State,9604,All Levels,13,289,32422
2017,Charters,Kent,First State Military Academy,9607,All Levels,12,288,32422
2017,Charters,Kent,Positive Outcomes Charter School,71,All Levels,15,125,32422
2017,Charters,Kent,Providence Creek Academy Charter School,87,All Levels,42,700,32422
2017,Charters,New Castle,ASPIRA Delaware,69,All Levels,50,698,97298
2017,Charters,New Castle,Academia Antonia Alonso,9605,All Levels,24,415,97298
2017,Charters,New Castle,Charter School of New Castle,80,All Levels,46,759,97298
2017,Charters,New Castle,East Side Charter School,72,All Levels,36,446,97298
2017,Charters,New Castle,Edison (Thomas A.) Charter School,76,All Levels,46,739,97298
2017,Charters,New Castle,First State Montessori Academy,9606,All Levels,35,428,97298
2017,Charters,New Castle,Freire Charter School Wilmington,9612,All Levels,16,322,97298
2017,Charters,New Castle,Gateway Charter School,92,All Levels,26,221,97298
2017,Charters,New Castle,Great Oaks Charter School,9611,All Levels,12,343,97298
2017,Charters,New Castle,Kuumba Academy Charter School,82,All Levels,44,744,97298
2017,Charters,New Castle,MOT Charter School,88,All Levels,64,1159,97298
2017,Charters,New Castle,Newark Charter School,89,All Levels,140,2322,97298
2017,Charters,New Castle,Odyssey Charter School,86,All Levels,107,1440,97298
2017,Charters,Sussex,Sussex Academy,77,All Levels,35,692,33851
2017,Districts,Kent,Caesar Rodney School District,10,All Levels,525,7727,32422
2017,Districts,Kent,Capital School District,13,All Levels,460,6404,32422
2017,Districts,Kent,Lake Forest School District,15,All Levels,248,3704,32422
